=== TABLE 1: Code Categories by First Digit ===
Primer dígito | Agrupación Tipo o serie a la cual pertenece el mensaje.
0 | Avisos
1 | Inicio del proceso
2 | Aceptaciones
3 | Intercambios de información
4 | Rehúses
5 | Bajas
6 | Interlocución
7 | Arbitraje / Información Penalizaciones
8 | Documentos en el formato original enviado
9 | Compensación

=== TABLE 0: Full Sequence Table (46 rows) ===
R0: Versión | Fecha | Modificaciones sobre versión anterior
586 | Cierre factura. No procede total | CS | EA/CH
587 | Cierre factura con embargo | CH | EA
652 | Alegaciones Subcomisión parte | EA/CH
653 | Alegaciones Subcomisión factura | EA/CH
655 | Alegaciones subcomisión cambio de diagnóstico (2010U) | CS | EA
662 | Subcomisión automatizada por Parte | CS | EA/CH
663 | Subcomisión automatizada por Factura | CS | EA/CH
664 | Envío a subcomisión disconformidad reducción tarifa | CH | EA/CH
665 | Subcomision automatizada por cambio de diagnóstico (2010U) | CH | EA/CH
666 | PA elevado a Comisión | CS | EA/CH
667 | Factura elevada a Comisión | CS | EA/CH
669 | Subcomisión solicita documentación aclaración parte | CS | EA/CH
670 | Interlocutores por Parte | CH/EA | EA/CH
671 | Interlocutores por Factura | CH/EA | EA/CH
672 | Fin gestión Parte en CAS. Gestionar con subcomisión no automatizada | CS | EA/CH
673 | Fin gestión Factura en CAS. Gestionar con subcomisión no automatizada | CS | EA/CH
674 | Subcomisión por falta de pago | CS | EA/CH
676 | CCS Pago pendiente | CS | EA/CH
677 | Comisión solicita documentación aclaración Parte | CS | EA/CH
678 | Subcomisión solicita documentación aclaración Factura | CS | EA/CH
679 | Comisión solicita documentación aclaración Factura | CS | EA/CH
682 | Resolución firme subcomisión acepta parte | CS | EA/CH
683 | Resolución firme subcomisión no procede parte | CS | EA/CH
684 | Resolución firme subcomisión acepta factura | CS | EA/CH
685 | Resolución firme subcomisión no procede factura | CS | EA/CH
686 | Interlocutores por paciente alta especialización | EA/CH
687 | Fin gestión lesionado-alta complejidad en CAS. Gestionar con subcomisión no automatizada | CS
715 | Aviso caducidad factura. | CS | EA
716 | Aviso envío fuera de plazo (15 días naturales) del informe de evolución | CS | EA
717 | Aviso presentación de las facturas de las asistencias prestadas por los CS | CS | EA
801 | Solicitud de autorización para calificación de lesionado alta especialización | CH | EA
806 | Informe cambio diagnóstico | CH | EA
811 | Informe médico de evolución | CH | EA
814 | Envía documento hoja de firmas | CH | EA
821 | Envío declaración de responsable | CH | CCS
822 | Envío nueva declaración responsable | CH | CCS
823 | Autorización Infiltraciones-bloqueos facetarios, nerviosos. | CH | EA
824 | Autorización ondas de choque radiales. | CH | EA
825 | Autorización ondas de choque focales. | CH | EA
828 | Envío informe de alta (Sanidad Pública) | CH | EA
841 | Justificante de rechazo de parte | EA | CH
861 | EA justifica aplicar módulo reducido | EA | CH
863 | Envía Documentos originales información aclaratoria. | CH | EA
864 | Centro sanitario justifica diálogo aplicación módulo reducido | CH | EA
865 | Documento original de justificación de envío fuera de plazo. | CH | EA
866 | Documentación original sin catalogar. | CH | EA
867 | Documentación original sin catalogar. | EA | CH
869 | Envía Documentos originales de aclaración factura | CH | EA
870 | Documento justificante rechazo factura | EA | CH
874 | Documento original de justificante de no aseguramiento. | EA | CH
876 | Envía doc. original aclaración declaración responsable | CH | CCS
877 | Doc. original información alegaciones parte | CH | EA
878 | Doc. original información alegaciones parte | EA | CH
879 | Doc. original información alegaciones factura | CH | EA
880 | Doc. original información alegaciones factura | EA | CH
881 | Informe de alta de urgencias | CH | EA
885 | Envío informe de alta | CH | EA
890 | EA envía doc. aclaraciones Parte Asistencia, solicitud subcomisión | EA | CS
890 | Envía documentación solicitud subcomisión (adicional) (descripción que aplica al convenio 2010T) | EA | CH
891 | CH envía doc aclaraciones Parte Asistencia, solicitud subcomisión | CH | CS
891 | Envía documentación solicitud subcomisión (adicional) (descripción que aplica al convenio 2010T) | CH | CS
892 | CH envía doc. aclaraciones Parte Asistencia, solicitud Comisión | CH | CS
892 | Envía documentación solicitud comisión (adicional) (descripción que aplica al convenio 2010T) | CH | CS
893 | CH envía doc. aclaraciones Factura, solicitud Comisión | CH | CS
893 | Envía documentación solicitud subcomisión Factura (adicional) (descripción que aplica al convenio 20 | CH | CS
894 | EA envía doc. aclaraciones Factura, solicitud Comisión | EA | CS
894 | Envía documentación solicitud comisión Factura (adicional) (descripción que aplica al convenio 2010T | EA | CS
895 | CH envía doc. aclaraciones Factura, solicitud Comisión | CH | CS
895 | Envía documentación solicitud comisión Factura (adicional) (descripción que aplica al convenio 2010T | CH | CS
896 | Documentación subcomisión/comisión | CS | EA/CH
897 | Documentación adicional tras petición subcomisión/comisión | CS | EA/CH
898 | EA envía doc. aclaraciones Parte Asistencia, solicitud Comisión | EA | CS
898 | Envía documentación solicitud comisión (adicional) (descripción que aplica al convenio 2010T) | EA | CS
899 | EA envía doc. aclaraciones Factura, solicitud Subcomisión | EA | CS
899 | Envía documentación solicitud subcomisión Factura (adicional) (sólo aplica al convenio 2010T) | EA | CS

Mensajes de Penalización/Regularización
Mensaje | Flujo | Origen | Destino
701 | Envío fuera de plazo (15 días naturales) del parte de urgencia | CS | CH / EA
702 | Envío fuera de plazo (15 días naturales) del parte de primera asistencia ambulatoria u hospitalaria | CS | CH / EA
703 | Envío fuera de plazo (15 días naturales) del informe de evolución | CS | CH / EA
704 | Comunicación fuera de plazo (15 días naturales) del cambio de diagnóstico. | CS | CH / EA
705 | Presentación de las facturas de las asistencias prestadas por los centros sanitarios | CS | CH / EA

=== TABLE 3 (5 rows) ===
Tipo | Descripción
PA | Flujos de comunicación asociados con un documento ‘Parte de Asistencia’
FACTURA | Flujos de comunicación asociados con un documento ‘Factura’
RESTO | Resto de información intercambiada en el diálogo
DOCUMENTOS | Flujos de comunicación asociados con el documento original

=== TABLE 4 (47 rows) ===
Código | Tipo | Código | Tipo | Código | Tipo
101 | PA | 367 | RESTO | 662 | PA
102 | PA | 368 | FACTURA | 663 | FACTURA
170 | PA | 369 | FACTURA | 664 | FACTURA
171 | PA | 375 | RESTO | 665 | RESTO
172 | PA | 376 | RESTO | 669 | PA
173 | PA | 381 | FACTURA | 676 | FACTURA
174 | PA | 390 | RESTO | 678 | FACTURA
175 | PA | 391 | RESTO | 678 | FACTURA
176 | PA | 392 | RESTO | 701 | RESTO
181 | FACTURA | 393 | RESTO | 702 | RESTO
201 | PA | 394 | RESTO | 703 | RESTO
202 | PA | 395 | RESTO | 704 | RESTO
270 | PA | 398 | RESTO | 705 | FACTURA
271 | PA | 399 | FACTURA | 715 | FACTURA
280 | FACTURA | 401 | PA | 716 | RESTO
281 | FACTURA | 421 | PA | 717 | RESTO
301 | RESTO | 472 | PA | 806 | DOCUMENTOS
302 | RESTO | 474 | PA | 811 | DOCUMENTOS
303 | RESTO | 475 | PA | 814 | DOCUMENTO (FACTURA)
304 | RESTO | 476 | PA | 821 | DOCUMENTOS
305 | RESTO | 478 | PA | 822 | DOCUMENTOS
306 | RESTO | 481 | FACTURA | 823 | DOCUMENTOS
308 | FACTURA | 486 | FACTURA | 824 | DOCUMENTOS
309 | FACTURA | 487 | FACTURA | 825 | DOCUMENTOS
310 | PA | 492 | PA | 828 | DOCUMENTOS
311 | RESTO | 495 | PA | 841 | DOCUMENTOS
312 | RESTO | 496 | PA | 863 | DOCUMENTOS
313 | FACTURA | 497 | PA | 866 | DOCUMENTOS
314 | FACTURA | 498 | PA | 867 | DOCUMENTOS
315 | RESTO | 499 | PA | 869 | DOCUMENTO (FACTURA)
316 | RESTO | 500 | RESTO | 870 | DOCUMENTO (FACTURA)
317 | RESTO | 501 | RESTO | 874 | DOCUMENTOS
318 | RESTO | 504 | RESTO | 876 | DOCUMENTOS
319 | RESTO | 570 | FACTURA | 881 | DOCUMENTOS
320 | RESTO | 572 | PA | 885 | DOCUMENTOS
321 | RESTO | 573 | FACTURA | 890 | DOCUMENTOS
322 | RESTO | 574 | FACTURA | 891 | DOCUMENTOS
323 | RESTO | 580 | FACTURA | 892 | DOCUMENTOS
324 | RESTO | 581 | FACTURA | 893 | DOCUMENTOS
325 | FACTURA | 584 | FACTURA | 894 | DOCUMENTOS
326 | RESTO | 581 | FACTURA | 895 | DOCUMENTOS
327 | RESTO | 584 | FACTURA | 896 | DOCUMENTOS
328 | RESTO | 587 | FACTURA | 897 | DOCUMENTOS
329 | RESTO | 652 | PA | 898 | DOCUMENTOS
360 | RESTO | 653 | FACTURA | 899 | DOCUMENTOS
366 | RESTO | 655 | RESTO | 

=== TABLE 7 (4 rows) ===
RG1 |  | Origen Destino | Convenio | Caducidad común | mensaje acción común | mensaje acción | Respuesta | Origen Destino | Convenio | 
47(F) | Envío datos liquidación | CH EA | SAS EMERSAS |  | 381(F) (*) | Notifica abono total | CS CH | SAS EMERSAS | 
 | CH CCS | SAS_CCS EMERSAS_CCS | 30 | 676(F)  CCS Pago pendiente | 381(F) | Notifica abono total | CCS CH | SAS_CCS EMERSAS_CCS | 
(*) Enviada por el Centro de Servicios en la liquidación automática de la factura.

=== TABLE 8 (32 rows) ===
RG1 |  | Origen Destino | Convenio | Caducidad común | mensaje acción común | mensaje acción | Respuesta | Origen Destino | Convenio | 
101 | PA Urgencias | CH EA CH CCS | 2010T 2010U | 10 | 201 Acepta parte de urgencias. | 201 | Acepta parte de urgencias | EACH | 2010T 2010U | 
 | 302 | Comunica cambio diagnóstico | CH EA CHCCS | 2010T 2010U | 
 | 303 | Acepta cambio de diagnóstico | EACH CCSCH | 2010T 2010U | 
 | 304 | Rechaza cambio de diagnóstico | EACH CCSCH | 2010T 2010U | 
 | 305 | Solicita aclaraciones cambio de diagnóstico | EACH CCSCH | 2010T 2010U | 
 | 306 | Envía aclaraciones cambio diagnóstico | CH EA CHCCS | 2010T 2010U | 
 | 311 | Solicita informe médico de evolución | EACH CCSCH | 2010T 2010U | 
 | 315 | Solicito autorización de pruebas diagnósticas | CHEA CHCCS | 2010T 2010U | 
 | 316 | Autorizo pruebas diagnósticas | EACH CCSCH | 2010T 2010U | 
 | 317 | No autorizo pruebas diagnósticas | EACH CCSCH | 2010T 2010U | 
 | 360 | Cambio de referencia del expediente | EACH CCSCH | 2010T 2010U | 
 | 370 | Solicita autorización de inicio de tratamiento rehabilitador fuera del término municipal | CHEA CHCCS | 2010T | 
 | 401 | Parte de urgencias no cumplimentado correctamente | EACH | 2010T 2010U | 
 | 474 | Rechaza el parte por no asegurar al vehículo | EACH | 
 | 475 | No corresponde el pago (estipulación de Convenio) | EACH | 
 | 478 | Rechaza parte por existir seguro | CCSCH | 2010T 2010U | 
 | 492 | No se trata de un hecho de la circulación | EACH | 
 | 496 | Falta de relación causal, criterio cronológico | EACH CCSCH | 
 | 500 | Abandona gestión expediente | CH EA CHCCS | 
 | 504 | Baja expediente no convenio. | CH EA CHCCS | 2010U | 
 | 366 | Doc. CAS sin catalogar | CHEA CHCCS | 
 | 367 | Doc. CAS sin catalogar | EACH CCSCH | 
 | 806 | Informe cambio de diagnóstico | CHEA CHCCS | 2010T 2010U | 
 | 811 | Informe médico de evolución | CHEA CHCCS | 2010T 2010U | 
 | 821 | Envío declaración de responsable | CHCCS | 
 | 863 | Envía documento información aclaratoria (Doc. Adicional) | CHEA CHCCS | 
 | 866 | Documento sin catalogar (Doc. Adicional) | CHEA CHCCS | 
 | 867 | Documento sin catalogar (Doc. Adicional) | EACH CCSCH | 
 | 876 | Envía documento original aclaración declaración responsable | CHCCS | 
 | 881 | Envío informe de urgencias | CHEA   CHCCS | 
En los rechazos al PA 101 la no es obligatorio que la entidad emita documento acreditativo del recha

=== TABLE 9 (29 rows) ===
RG1 |  | Origen Destino | Convenio | Caducidad común | mensaje acción común | mensaje acción | Respuesta | Origen Destino | Convenio | 
102 | PA Urgencias modificado | CH EA CHCCS | 2010T 2010U | 10 (*) | 201 (*) | 201 | Acepta parte de urgencias modificado. | EACH CCSCH | 
 | 302 | Comunica cambio diagnóstico | CH EA CHCCS | 2010T 2010U | 
 | 303 | Acepta cambio de diagnóstico | EACH CCSCH | 2010T 2010U | 
 | 304 | Rechaza cambio de diagnóstico | EACH CCSCH | 2010T 2010U | 
 | 305 | Solicita aclaraciones cambio de diagnóstico | EACH CCSCH | 2010T 2010U | 
 | 306 | Envía aclaraciones cambio diagnóstico | CH EA CHCCS | 2010T 2010U | 
 | 311 | Solicita informe médico de evolución | EACH CCSCH | 2010T 2010U | 
 | 315 | Solicito autorización de pruebas diagnósticas | CHEA CHCCS | 2010T 2010U | 
 | 316 | Autorizo pruebas diagnósticas | EACH CCSCH | 2010T 2010U | 
 | 317 | No autorizo pruebas diagnósticas | EACH CCSCH | 2010T 2010U | 
 | 360 | Cambio de referencia del expediente | EACH CCSCH | 
 | 370 | Solicita autorización de inicio de tratamiento rehabilitador fuera del término municipal | CHEA CHCCS | 2010T | 
 | 401 | Parte de urgencias no cumplimentado correctamente. | EACH | 2010T 2010U | 
 | 475 | No corresponde el pago (estipulación de Convenio) | EACH CCSCH | 2010T 2010U | 
 | 492 | No se trata de un hecho de la circulación | EACH CCSCH | 2010T 2010U | 
 | 496 | Falta de relación causal, criterio cronológico | EACH CCSCH | 2010T 2010U | 
 | 500 | Abandona gestión expediente | CHEA CHCCS | 2010T 2010U | 
 | 504 | Baja expediente no convenio. | CHEA CHCCS | 2010U | 
 | 366 | Doc. CAS sin catalogar | CHEA CHCCS | 
 | 367 | Doc. CAS sin catalogar | EACH CCSCH | 
 | 806 | Informe cambio de diagnóstico | CHEA CHCCS | 2010T 2010U | 
 | 811 | Informe médico de evolución | CHEA CHCCS | 2010T 2010U | 
 | 863 | Envía documento información aclaratoria (Doc. Adicional) | CHEA CHCCS | 
 | 866 | Documento sin catalogar (Doc. Adicional) | CHEA CHCCS | 
 | 867 | Documento sin catalogar (Doc. Adicional) | EACH CCSCH | 
 | 876 | Envía documento original aclaración declaración responsable | CHCCS | 
 | 881 | Envío informe de urgencias | CHEA CHCCS | 
En los rechazos del PA 102 no es necesario que la entidad aseguradora justifique rechazo con 841.  (

=== TABLE 10 (3 rows) ===
RG1 |  | Origen Destino | Convenio | Caducidad común | mensaje acción común | Respuesta | Origen Destino | Convenio | 
170 | Parte de comunicación de lesiones | CS -> EA CS -> CCS | 2010T 2010U | 
Este parte no tiene respuestas, es únicamente para comunicar las lesiones.

=== TABLE 11 (39 rows) ===
RG1 |  | Origen Destino | Convenio | Caducidad común | mensaje acción común | Respuesta | Origen Destino | Convenio | 
171 | Envío documento PA | CH EA CHCCS | APUB_ENT NAVVAL_ENT SAS_ENT EMER_ENT EMERSAS_ENT | 30 | 271 Acepta PA | 821 | Envía declaración | CH CCS | TODOS_CCS | 
 | APRIV_ENT ACESI_ENT | 20 | 271 Acepta PA | 271 | Acepta PA | EACH | TODOS | 
 | 328 | Envío datos informe alta | CHEA CHCCS | APUB | 
